name,measurement_unit_id
розовые лепестки,1
розы,1
рокфор,1
ром,2
ромашка сушеная,1
ромовый экстракт,4
ром темный,2
ростбиф,1
рукола,1
рулька,1
рыба,1
рыба белая,1
рыба белая филе,1
рыба консервированная,1
рыба копченая,1
рыба копченая филе,1
рыба красная,1
рыба красная соленая,1
рыба красная филе,1
рыба-меч,1
рыба морская,1
рыба солнечник филе,1
рыба-соль,1
рыбное филе,1
рыбные консервы,1
рыбные кости,1
рыбные обрезки головы плавники,1
рыбный бульон,1
рыбный соус,1
рыбный соус nam pla,1
рыбный соус тайский,1
рыбный фарш,1
рябина черноплодная,1
рябчик,1
ряженка,2
ряженка 4%,2
сайда,1
сайда филе,1
сайра,1
сайра консервированная,1
саке,2
салака,1
салат,1
салат айсберг,1
салат китайский,1
салат корн,1
салат кочанный,1
салат кучерявый,1
салат листовой,1
салатный микс,1
салат романо,1
салат фриссе,1
сало,1
сало копченое в перце,1
сало копченое с мясными прослойками,1
сало с мясными прослойками,1
сальник,1
сальса,1
сальса верде,4
салями,1
салями итальянская,1
сардельки,1
сардельки копченые,1
сардинки маленькие,1
сардины,1
сардины в масле,1
сахар,1
сахар ванильный,1
сахар демерара,1
сахар жемчужный,1
сахар коричневый,1
сахар коричневый крупнокристаллический,1
сахар мусковадо,1
сахарная пудра,1
сахарная пудра апельсиновая,1
сахарная пудра ванильная,1
сахарные жемчужинки,1
сахарные кондитерские украшения,1
сахарный песок,1
сахарный песок крупный,1
сахарный песок мелкий,1
сахарный сироп,1
сахар пальмовый,1
сахар-рафинад,1
сахар-рафинад с корицей,1
сахар тростниковый,1
сванская соль,1
свекла,1
свекла вареная,1
свекольная ботва,1
свекольные листья,1
свиная вырезка,1
свиная голова,1
свиная грудинка,1
свиная корейка,1
свиная корейка копченая,1
свиная корейка на кости,1
свиная лопатка варено-копченая,1
свиная мякоть,1
свиная пашина,1
свиная печень,1
свиная рулька,1
свиная рулька варено-копченая,1
свиная рулька копченая,1
свиная шейка,8
свинина,1
свинина вареная,1
свинина нежирная,1
свинина с жирком,1
свиное сердце,1
свиное филе,1
свиной подчеревок,1
свиной фарш,1
свиной язык,1
свиные котлеты на косточке,3
свиные легкие,1
свиные ножки,1
свиные отбивные,1
свиные отбивные на косточке,1
свиные ребра,1
свиные уши,3
свиные щечки,3
свити,1
сельдерей,1
сельдерей зелень,1
сельдерей корень,1
сельдерей корень сушеный,1
сельдерейная соль,1
сельдерей семена,1
сельдерей стебли,1
сельдь,1
сельдь слабосоленая,1
сельдь соленая,3
сельдь филе,1
семга,1
семга копченая,1
семга свежая,1
семга соленая,1
семга филе на коже,1
семечки,1
семечки смесь,1
семолина,1
сервелат варено-копченый,1
сибас,1
сидр,2
сироп,2
сироп от консервированных груш,2
сироп от консервированных персиков,2
сироп топинамбура,2
скумбрия,1
скумбрия свежая,1
скумбрия филе,1
скумбрия холодного копчения,1
сливки,2
сливки 10-20%,2
сливки 15%,2
сливки 20%,2
сливки 33-35%,2
сливки жирные,2
сливки кондитерские,2
сливовая паста,1
сливовое варенье,1
сливовое вино,2
сливовый джем,1
сливовый ликер,2
сливовый соус,1
сливочное масло,1
сливы,1
сливы замороженные,1
смалец,1
смесь для кекса,1
смесь для оладий,1
смесь для хлеба 8 злаков,1
сметана,1
сметана 10%,1
сметана 15%,1
сметана 18%,1
сметана 20%,1
сметана 25%,1
сметана 30%,1
сметана 35%,1
сметана жирная,1
сметана нежирная,1
сметана некислая,1
смородина сушеная,1
смородиновые листья,1
сморчки сухие,1
снежок,2
сныть,1
сода,1
соевая мука,1
соевое масло,1
соевое молоко,2
соевые ростки,1
соевый соус,1
сок,2
сок из красных апельсинов,2
сок мультивитаминный,2
сок юзу,2
солод,1
солод жидкий,2
солодовый экстракт,1
солод темный,1
соломка,1
соль,1
соль гималайская,1
соль крупного помола,1
соль морская,1
сом филе,1
сосиски,1
сосиски из куриного фарша,1
сосиски копченые,1
соус,1
соус black bean,1
соус sambal oelek,1
соус барбекю,1
соус краснодарский,1
соус красный острый,1
соус мирин,1
соус наршараб,1
соус острый,1
соус песто,1
соус сацебели,1
соус табаско,6
соус терияки,1
соус ткемали,1
соус ткемали благородный,1
соус ткемали ранний,1
соус устричный,1
соус чили,1
соус чили сладкий,1
соус экзотический,1
соя,1
спагетти,1
спагетти № 3,1
спагетти № 5,1
спагетти лунги,1
спаржа,1
спаржа белая,1
спаржа зеленая,1
спаржа молодая,1
спек,1
спельта,1
спельтовая (полбяная) мука,1
специи,1
спирт,2
спирулина порошок,1
спред,1
ставрида,1
стейк семги,1
стеклянная лапша,1
страчателла,1
судак,1
судак филе,1
судак филе на коже,1
сулугуни,1
сулугуни копченый,1
сумах,1
суповой набор,1
сухари,1
сухари белые,1
сухари молотые,1
сухари панировочные,1
сухари ржаные,1
сухарная крошка,1
сухофрукты,1
сухофрукты тропические,1
сушки,1
сыворотка,1
сыр,1
сыр tete de moine,1
сыр австрия блю,1
сыр адыгейский,1
сыр бри,1
сыр буко,1
сыр гауда,1
сыр гойя,1
сыр голландский,1
сыр голубой,1
сыр гравьера,1
сыр джугас,1
сыр домашний,1
сыр дорблю,1
сыр имеретинский,1
сыр кефалотири,1
сырки творожные,1
сыр козий мягкий,1
сыр козий твердый,1
сыр колбасный,1
сыр копченый,1
сыр коттедж,1
сыр маскарпоне,1
сыр мраморный,1
сыр мягкий,1
сыр овечий,1
сыр панир,1
сыр пеше миньон,1
сыр плавленый,1
сыр плавленый шоколадный,1
сыр пластинками,1
сыр полутвердый,1
сыр провола,1
сыр российский,1
сыр скаморца,1
сыр скаморца копченый,1
сыр сливочный,1
сыр с плесенью,1
сыр с плесенью мягкий,1
сыр твердый,1
сыр филадельфия,1
сыр фонтина,1
сыр хаварти,1
сыр швейцарский,1
сычужный фермент,4
таледжо,1
тальолини,1
тальятелле,1
тальятелле-гнезда,1
тамаринд,1
тамариндовая паста,1
тапиока,1
тарталетки,1
тартар,1
тархун,1
творог,1
творог 18%,1
творог 2%,1
творог 5%,1
творог 9%,1
творог жирный,1
творог зерненый,1
творог обезжиренный,1
творожная масса,1
творожная паста,1
творожный сыр,1
творожный сыр соленый,1
творожок клубничный,1
текила,2
телятина,1
телятина вареная,1
телячий фарш,1
телячьи отбивные на косточке,3
телячьи шницели,1
телячьи эскалопы,1
телячья вырезка,1
телячья печень,1
телячья щека,1
тесто бездрожжевое,1
тесто готовое,1
тесто для вонтонов,1
тесто для пиццы,1
тесто дрожжевое,1
тесто катаифи,1
тесто макаронное,1
тесто макаронное для лазаньи,1
тесто пельменное,1
тесто песочное,1
тесто пресное,1
тесто пряничное,1
тесто слоеное,1
тесто слоеное бездрожжевое,1
тесто слоеное дрожжевое,1
тесто фило,1
тилапия,1
тилапия филе,1
тильзитер,1
тимьян,1
тимьян лимонный,1
тимьян свежий,1
тимьян сушеный,1
ткемали,1
тмин,1
тмин молотый,1
томатная паста,1
томатное пюре,1
томатный концентрат,1
томатный порошок,1
томатный сок,2
томатный соус,1
томатный соус итальянский,1
томатный соус острый,1
томатный соус с базиликом,1
тоник,2
топинамбур,1
топленое масло,1
тортильи,3
тортильони,1
тофу,1
травы ароматные,1
травы пряные с перцем,1
травы сухие,1
треска,1
треска печень,1
треска филе,1
трюфель,1
трюфельная крошка,1
трюфельное масло,1
трюфель черный,1
тунец,1
тунец консервированный,1
тунец филе,1
тушенка,1
тыква,1
тыквенное масло,1
тыквенное пюре,1
тыквенные семечки,1
тюлька свежая,1
угорь,1
угорь копченый,1
угурт,1
укроп,1
укропное семя,1
укроп свежий,1
укроп сушеный,1
уксус,2
уксус 9%,2
уксус из сидра,2
уксусная эссенция,2
уксус столовый,2
улитки,1
улитки виноградные,1
урюк,1
устрицы,1
утиная грудка,1
утиная печень,1
утиное филе,1
утиные бедрышки,1
утиные ножки,1
утка,1
утка печеная,1
утка тушка,1
уцхо-сунели,1
фазан,1
фарш (баранина и говядина),1
фарш (свинина и курица),1
